key,text,module
Choose when the order status changes to shipping.,Choose when the order status changes to shipping.,
Choose Yes to activate auto-order reallocation or choose No to not activate.,Choose Yes to activate auto-order reallocation or choose No to not activate.,
"""One Store Priority Only"" means allocate to one store only, if not available mark order as Failed - Allocation not found.
""Split Shipment if One Store Not Available"" means allocate to one store that can fulfill all items. if not available, allocate to more than one store.
""Split Shipment"" means order can be allocate to more than one store.","""One Store Priority Only"" means allocate to one store only, if not available mark order as Failed - Allocation not found.
""Split Shipment if One Store Not Available"" means allocate to one store that can fulfill all items. if not available, allocate to more than one store.
""Split Shipment"" means order can be allocate to more than one store.",
Region of the location.,Region of the location.,
Choose Yes if the location is a warehouse.,Choose Yes if the location is a warehouse.,
Choose Yes to use this location in the frontend website.,Choose Yes to use this location in the frontend website.,
Choose Yes if this location is a virtual location and the selected options in Is Sirclo Warehouse and Is Manage Stock should be No.,Choose Yes if this location is a virtual location and the selected options in Is Sirclo Warehouse and Is Manage Stock should be No.,
Priority level used for priority location in order shipping.,Priority level used for priority location in order shipping.,
(Quantity) Stock that will not be sold for this location. The default qty is 0.,(Quantity) Stock that will not be sold for this location. The default qty is 0.,
Choose Yes if this location has access to manage stock. The default option is No.,Choose Yes if this location has access to manage stock. The default option is No.,
Choose Yes to enable auto-complete mode in order shipping. The default option is No.,Choose Yes to enable auto-complete mode in order shipping. The default option is No.,
Shipper ID for this location (if available).,Shipper ID for this location (if available).,
Credential for Logistix Wahana service (if available).,Credential for Logistix Wahana service (if available).,
Client code for Lion Parcel service (if available).,Client code for Lion Parcel service (if available).,
Request New Vendor,Request New Vendor,
"Congratulation, your registration will be processed immediately.","Congratulation, your registration will be processed immediately.",
Email not valid!,Email not valid!,
FIRST NAME,FIRST NAME,
LAST NAME,LAST NAME,
EMAIL,EMAIL,
PASSWORD,PASSWORD,
CONFIRM PASSWORD,CONFIRM PASSWORD,
ADDRESS,ADDRESS,
COUNTRY,COUNTRY,
PROVINCE,PROVINCE,
CITY,CITY,
TELEPHONE,TELEPHONE,
COMPANY CODE,COMPANY CODE,
COMPANY,COMPANY,
SUBMIT REQUEST,SUBMIT REQUEST,
Back to Login Page,Back to Login Page,
Dashboard,Dashboard,
All Orders,All Orders,
Allocating,Allocating,
Failed,Failed,
Order Processing,Order Processing,
Shipment Processing,Shipment Processing,
Invoice,Invoice,
Bulk Tools,Bulk Tools,
Export Order,Export Order,
Pick And Pack,Pick And Pack,
Pick List,Pick List,
Create Pick by Wave,Create Pick by Wave,
Pack List,Pack List,
Batch List,Batch List,
Create Pick By Batch,Create Pick By Batch,
All Shipment,All Shipment,
Curbside Pickup,Curbside Pickup,
Credit Memos,Credit Memos,
Manage RMA,Manage RMA,
RMA Statuses,RMA Statuses,
Catalog,Catalog,
Products,Products,
Product Bin,Product Bin,
Inventory,Inventory,
Stock Transfer,Stock Transfer,
Stock Adjustment,Stock Adjustment,
Warehouse,Warehouse,
Product Category,Product Category,
Product Attribute Mapping,Product Attribute Mapping,
Product Status,Product Status,
Product Price,Product Price,
Product Promo,Product Promo,
Masters,Masters,
Location Pickup,Location Pickup,
Manage Vendor Request,Manage Vendor Request,
Manage Vendor,Manage Vendor,
Product Approval,Product Approval,
Manage Promotion,Manage Promotion,
Iris Payout,Iris Payout,
Iris Payout Approval,Iris Payout Approval,
Report,Report,
Order Report,Order Report,
Order SLI Report,Order SLI Report,
Tools,Tools,
CLI Tools,CLI Tools,
Configurations,Configurations,
General,General,
Price By Location,Price By Location,
Logistix,Logistix,
Logistix Provider,Logistix Provider,
Pick Pack,Pick Pack,
Marketplace Adapter,Marketplace Adapter,
Region Mapping,Region Mapping,
TADA,TADA,
Notification,Notification,
Open API,Open API,
All Users,All Users,
User Group,User Group,
Quantity has been updated,Quantity has been updated,
Pick by Wave - Scan ID,Pick by Wave - Scan ID,
You have picked {{pickList.qtyPicked}} item,You have picked {{pickList.qtyPicked}} item,
required,required,
Confirm,Confirm,
Back to Pick Item,Back to Pick Item,
Pick by Wave,Pick by Wave,
Pack by Wave ID,Pack by Wave ID,
Picklist was done,Picklist was done,
Wave,Wave,
Date,Date,
Picker,Picker,
Total Shipment,Total Shipment,
Total SKU,Total SKU,
QTY,QTY,
LOCATION,LOCATION,
items left to pick,items left to pick,
Done Picking,Done Picking,
Pick by Wave ID,Pick by Wave ID,
Loc,Loc,
Qty item to pick,Qty item to pick,
put picked items in,put picked items in,
Slot,Slot,
SCAN,SCAN,
Back to Pick List,Back to Pick List,
Pick by Wave List,Pick by Wave List,
Wave Number,Wave Number,
The picking process has been started.,The picking process has been started.,
Create Pick by Wave - Manual Order,Create Pick by Wave - Manual Order,
Order Number,Order Number,
Start Picking,Start Picking,
Order Selected,Order Selected,
Select Order,Select Order,
Pick list has been created.,Pick list has been created.,
Order ready to pick,Order ready to pick,
How would you like to process them?,How would you like to process them?,
Auto Generate Pick List,Auto Generate Pick List,
Select Order Manually,Select Order Manually,
See Created Pick List,See Created Pick List,
Scanned successfully,Scanned successfully,
Back to Wave Items,Back to Wave Items,
Start your packing process!,Start your packing process!,
Pack by Wave,Pack by Wave,
Start Packing,Start Packing,
ITEM,ITEM,
Done Packing,Done Packing,
Start Scanning,Start Scanning,
Pack Complete,Pack Complete,
Pack Next Shipment,Pack Next Shipment,
Back to Slot List,Back to Slot List,
Pack by Wave List,Pack by Wave List,
Pick Uncomplete,Pick Uncomplete,
Pick Complete,Pick Complete,
Pack in Progress,Pack in Progress,
Sorting List,Sorting List,
Slot No,Slot No,
Shipment Number,Shipment Number,
Parent ID,Parent ID,
Done Sorting,Done Sorting,
Pick by Batch - Sorting,Pick by Batch - Sorting,
Input SKU Manually,Input SKU Manually,
Add to,Add to,
Input SKU,Input SKU,
Pick by Batch ID,Pick by Batch ID,
Pick by Batch - Scan ID,Pick by Batch - Scan ID,
Pick by Batch List,Pick by Batch List,
Pick by Batch - Pick List,Pick by Batch - Pick List,
Batch Number,Batch Number,
PickList in Progress,PickList in Progress,
Start Sorting,Start Sorting,
Batch has been canceled,Batch has been canceled,
Batch,Batch,
Are you sure want to cancel this batch?,Are you sure want to cancel this batch?,
Picked by,Picked by,
Batch has been saved.,Batch has been saved.,
Create Pick by Batch - Manual Order,Create Pick by Batch - Manual Order,
Allocation Status,Allocation Status,
New batch has been saved.,New batch has been saved.,
SKU to pick,SKU to pick,
Create Batch by Picker,Create Batch by Picker,
Create Batch by SKU,Create Batch by SKU,
See Created Batch List,See Created Batch List,
Batch by,Batch by,
Maximum number of SKU per pick list,Maximum number of SKU per pick list,
How many picker per batch?,How many picker per batch?,
Create Pick List,Create Pick List,
Pack by Batch ID,Pack by Batch ID,
Scan Batch,Scan Batch,
Back to Batch Items,Back to Batch Items,
Pack by Batch List,Pack by Batch List,
Print Pack List,Print Pack List,
No data was found or you may have reached the maximum limit for print the pack list.,No data was found or you may have reached the maximum limit for print the pack list.,
Marketplace Order Number,Marketplace Order Number,
Mark Confirm Complete,Mark Confirm Complete,
Are you sure to confirm ?,Are you sure to confirm ?,
The shipment has been confirmed.,The shipment has been confirmed.,
The shipment status has been updated.,The shipment status has been updated.,
Access Forbidden,Access Forbidden,
The shipment has been reallocated.,The shipment has been reallocated.,
Notes has been saved.,Notes has been saved.,
"Detail Shipment ","Detail Shipment ",
Check Availability,Check Availability,
Status History,Status History,
Notes for this Shipment,Notes for this Shipment,
Available Location,Available Location,
Email/Mobile,Email/Mobile,
Phone Number,Phone Number,
Are you ready for pack ?,Are you ready for pack ?,
Mark Picked Up Complete,Mark Picked Up Complete,
Are you sure to picked up this order ?,Are you sure to picked up this order ?,
Home Delivery Dashboard,Home Delivery Dashboard,
Print Shipping Label,Print Shipping Label,
Mark Booking Courier Complete,Mark Booking Courier Complete,
Bulk Shipment,Bulk Shipment,
Home Delivery - Bulk Shipment,Home Delivery - Bulk Shipment,
Bulk Shipment Tutorial,Bulk Shipment Tutorial,
The shipment has been picked.,The shipment has been picked.,
The shipment has been canceled.,The shipment has been canceled.,
The shipment has been packed.,The shipment has been packed.,
The shipment has been shipped.,The shipment has been shipped.,
The shipment has been delivered.,The shipment has been delivered.,
Shipped From,Shipped From,
Pick In Progress,Pick In Progress,
Process for Shipping,Process for Shipping,
Pick Incomplete,Pick Incomplete,
Ready for Pack,Ready for Pack,
Ready for Ship,Ready for Ship,
Courier Booked,Courier Booked,
Order Delivered,Order Delivered,
Cancel Reason,Cancel Reason,
Access Forbiden,Access Forbiden,
Reallocating Order,Reallocating Order,
Book $ Courier,Book $ Courier,
Cancel $ Courier,Cancel $ Courier,
Booked courier has been canceled,Booked courier has been canceled,
Or enter shipping and tracking information,Or enter shipping and tracking information,
Enter shipping and tracking information,Enter shipping and tracking information,
AWB Number,AWB Number,
Track,Track,
Track History,Track History,
Mark as Delivered,Mark as Delivered,
Shipper Pickup Timeslot,Shipper Pickup Timeslot,
Export Without Items.,Export Without Items.,
Export With Items.,Export With Items.,
This feature is used to update shipment from,This feature is used to update shipment from,
to,to,
"and save the AWB number (if any). For this action, please use the CSV file that exported using the","and save the AWB number (if any). For this action, please use the CSV file that exported using the",
button as a template.,button as a template.,
Here are the complete steps for bulk shipment:,Here are the complete steps for bulk shipment:,
"Please prepare a shipment list to upload in CSV format. To download the template, go to the","Please prepare a shipment list to upload in CSV format. To download the template, go to the",
"tab, select data then click the","tab, select data then click the",
button and select,button and select,
Shipment data will be downloaded into a CSV file.,Shipment data will be downloaded into a CSV file.,
"Open the exported file using any supported application, add the AWB number if the shipment is using manually-generated AWB (not from SWIFT OMS). If not, leave this column empty then save the file. Please note that this file required comma-separated values for bulk action. The first row is the column name and below it is the shipment data. For example:","Open the exported file using any supported application, add the AWB number if the shipment is using manually-generated AWB (not from SWIFT OMS). If not, leave this column empty then save the file. Please note that this file required comma-separated values for bulk action. The first row is the column name and below it is the shipment data. For example:",
Original data:,Original data:,
Updated data,Updated data,
(added AWB number):,(added AWB number):,
Select the file you have exported and updated earlier (.csv format) by clicking,Select the file you have exported and updated earlier (.csv format) by clicking,
button to run bulk shipment and please wait till the process is complete. The shipment status will update to,button to run bulk shipment and please wait till the process is complete. The shipment status will update to,
when it's completed,when it's completed,
Marketplace Dashboard,Marketplace Dashboard,
Marketplace - Bulk Update Portcode,Marketplace - Bulk Update Portcode,
Marketplace - Bulk Shipment,Marketplace - Bulk Shipment,
Bulk Confirmed Tutorial,Bulk Confirmed Tutorial,
The Shipment have been exported.,The Shipment have been exported.,
Marketplace Order Status,Marketplace Order Status,
Port,Port,
Export Status History,Export Status History,
Bulk Confirmed,Bulk Confirmed,
Closed,Closed,
Order Closed,Order Closed,
Order Canceled,Order Canceled,
Enter Shipping and Tracking Information,Enter Shipping and Tracking Information,
Bulk Confirmed feature is used to confirm allocation status for marketplace shipment. This will update allocation status from,Bulk Confirmed feature is used to confirm allocation status for marketplace shipment. This will update allocation status from,
Unconfirmed,Unconfirmed,
Confirmed.,Confirmed.,
"For this action, please use the CSV file that exported using the","For this action, please use the CSV file that exported using the",
Here are the complete steps for bulk confirmation:,Here are the complete steps for bulk confirmation:,
tab and filter shipment with,tab and filter shipment with,
allocation status.,allocation status.,
"Select shipment data you want to confirm, click the","Select shipment data you want to confirm, click the",
"button, and select","button, and select",
Select file you have exported earlier (.csv format) by clicking,Select file you have exported earlier (.csv format) by clicking,
button to run bulk confirmed and please wait till the process is finished. Allocation status for the updated shipment data will be updated automatically to,button to run bulk confirmed and please wait till the process is finished. Allocation status for the updated shipment data will be updated automatically to,
The bulk Shipment feature is used to update marketplace shipment from,The bulk Shipment feature is used to update marketplace shipment from,
"Open the exported file using any supported application and add the AWB number if the shipment is using manually-generated AWB (not from SWIFT OMS). If not, leave this column empty then save the file. Please note that this file requires comma-separated values for bulk action. The first row is the column name and below it is the shipment data. For example:","Open the exported file using any supported application and add the AWB number if the shipment is using manually-generated AWB (not from SWIFT OMS). If not, leave this column empty then save the file. Please note that this file requires comma-separated values for bulk action. The first row is the column name and below it is the shipment data. For example:",
button,button,
once it's done.,once it's done.,
Updated shipment data will be moved to the,Updated shipment data will be moved to the,
Order Shipped - AWB,Order Shipped - AWB,
tab if using manual AWB or to the,tab if using manual AWB or to the,
Order Shipped - No AWB,Order Shipped - No AWB,
tab if using the auto-generated AWB.,tab if using the auto-generated AWB.,
Cannot Fulfill,Cannot Fulfill,
Channel Order Number,Channel Order Number,
Channel Order Date,Channel Order Date,
Channel Order Date From,Channel Order Date From,
Channel Order Date To,Channel Order Date To,
Recipient Name,Recipient Name,
Airway Bill,Airway Bill,
Customer Info,Customer Info,
Pickup Info,Pickup Info,
Shipping Address,Shipping Address,
Items Ordered,Items Ordered,
Unit Price,Unit Price,
Subtotal,Subtotal,
Confirmed,Confirmed,
Print Pick List,Print Pick List,
Ready for print ?,Ready for print ?,
Mark Pick Complete,Mark Pick Complete,
Mark Pack Complete,Mark Pack Complete,
Export Without Items,Export Without Items,
Export With Items,Export With Items,
The shipment has been picked up by customer.,The shipment has been picked up by customer.,
Order for curbside pickup at,Order for curbside pickup at,
Notes saved,Notes saved,
Pickup At,Pickup At,
Ready for Pickup,Ready for Pickup,
Customer,Customer,
Picked Up,Picked Up,
Pick Up Complete,Pick Up Complete,
ID/Reference,ID/Reference,
Picked up on,Picked up on,
Notes for this order,Notes for this order,
Manage Marketplace,Manage Marketplace,
Marketplace Warehouse,Marketplace Warehouse,
Edit Marketplace Warehouse,Edit Marketplace Warehouse,
Marketplace Product Category,Marketplace Product Category,
Update Categories Status,Update Categories Status,
Marketplace Product Attribute Mapping,Marketplace Product Attribute Mapping,
Marketplace Product Status,Marketplace Product Status,
Marketplace Product Price,Marketplace Product Price,
Marketplace Product Price Import,Marketplace Product Price Import,
Marketplace Product Promo,Marketplace Product Promo,
Marketplace Product Promo Item,Marketplace Product Promo Item,
Marketplace Code,Marketplace Code,
Marketplace Name,Marketplace Name,
Marketplace Warehouse ID,Marketplace Warehouse ID,
Add Warehouse,Add Warehouse,
Warehouse has been saved.,Warehouse has been saved.,
New Warehouse has been saved.,New Warehouse has been saved.,
Category ID,Category ID,
Category Name,Category Name,
Disable,Disable,
Are you sure you want to disable?,Are you sure you want to disable?,
Disable success!,Disable success!,
"Process is in progress, please wait. Check the progress","Process is in progress, please wait. Check the progress",
here,here,
Pull Categories,Pull Categories,
Update Status,Update Status,
The category has been saved.,The category has been saved.,
Marketplace Category,Marketplace Category,
Marketplace Attribute Name,Marketplace Attribute Name,
Attribute Code,Attribute Code,
Delete Mapping,Delete Mapping,
Add New Mapping,Add New Mapping,
Export Marketplace Product Attributes,Export Marketplace Product Attributes,
Import Mapping,Import Mapping,
New mapping has been saved.,New mapping has been saved.,
Minimum,Minimum,
Maximum,Maximum,
variant attribute,variant attribute,
variant attribute need mapping,variant attribute need mapping,
Please remove,Please remove,
New Mapping,New Mapping,
Marketplace Data,Marketplace Data,
Category,Category,
Select Marketplace First,Select Marketplace First,
Product Attributes,Product Attributes,
Select Category First,Select Category First,
Show mandatory attribute,Show mandatory attribute,
Input Type,Input Type,
Mapping To,Mapping To,
Product Attribute,Product Attribute,
List of mandatory attributes (need mapping),List of mandatory attributes (need mapping),
Marketplace Store ID,Marketplace Store ID,
Marketplace Status,Marketplace Status,
Update to marketplace,Update to marketplace,
Are you sure you want to update?,Are you sure you want to update?,
The price has been updated to the marketplace.,The price has been updated to the marketplace.,
Import,Import,
Marketplace product price has been uploaded,Marketplace product price has been uploaded,
Channel Store ID,Channel Store ID,
Promo Name,Promo Name,
Start Date,Start Date,
End Date,End Date,
Start Date From,Start Date From,
Start Date To,Start Date To,
End Date From,End Date From,
End Date To,End Date To,
Discount Type,Discount Type,
Discount Value,Discount Value,
Max Order,Max Order,
Updated At From,Updated At From,
Updated At To,Updated At To,
Period,Period,
From,From,
To,To,
Order Status,Order Status,
Day,Day,
Month,Month,
Year,Year,
Refresh Statistics,Refresh Statistics,
Order report statistics have been refreshed.,Order report statistics have been refreshed.,
Something went wrong while trying to refresh order report statistics.,Something went wrong while trying to refresh order report statistics.,
Show Report,Show Report,
Interval,Interval,
Orders,Orders,
Sales Items,Sales Items,
Sales Total,Sales Total,
Invoiced,Invoiced,
Refunded,Refunded,
Sales Tax,Sales Tax,
Sales Shipping,Sales Shipping,
Sales Discount,Sales Discount,
Order Service Level Indicator (SLI) Report,Order Service Level Indicator (SLI) Report,
Total Order Queue,Total Order Queue,
Avg Entry Time,Avg Entry Time,
Total Allocated,Total Allocated,
Avg Allocation Time,Avg Allocation Time,
Total Order Created,Total Order Created,
Avg Order Creation Time,Avg Order Creation Time,
Total Shipment Created,Total Shipment Created,
Avg Shipment Creation Time,Avg Shipment Creation Time,
Total Confirmed,Total Confirmed,
Avg Confirmation Time,Avg Confirmation Time,
Total Shipped with AWB,Total Shipped with AWB,
Avg Shipped with AWB,Avg Shipped with AWB,
Total Delivered,Total Delivered,
Avg Delivered Time,Avg Delivered Time,
Total Canceled,Total Canceled,
Avg Cancellation Time,Avg Cancellation Time,
Avg Time Format HH:MM:SS,Avg Time Format HH:MM:SS,
Date From,Date From,
Date To,Date To,
Export To,Export To,
Print Date,Print Date,
Order Date,Order Date,
Status Order Channel,Status Order Channel,
Billing Address,Billing Address,
Base Price,Base Price,
Sale Price,Sale Price,
Discount Amount,Discount Amount,
Order Total,Order Total,
Payment Method,Payment Method,
Grand Total,Grand Total,
Shipping Cost,Shipping Cost,
Manage CLI Tools,Manage CLI Tools,
Command has been added successfully,Command has been added successfully,
Title,Title,
Execute At,Execute At,
Finished At,Finished At,
Command,Command,
Execute From,Execute From,
Execute To,Execute To,
Finished From,Finished From,
Finished To,Finished To,
Manually Run Command,Manually Run Command,
Command Name,Command Name,
Additional Command,Additional Command,
Add Command,Add Command,
ID from,ID from,
ID to,ID to,
Create User,Create User,
The user has been saved.,The user has been saved.,
Edit User,Edit User,
Company (vendor only),Company (vendor only),
"user can only view Products, Sources, Locations and Shipments belonging to the selected company.","user can only view Products, Sources, Locations and Shipments belonging to the selected company.",
Access Control List Setting,Access Control List Setting,
Use Group ACL,Use Group ACL,
Copy from User Group,Copy from User Group,
Create Group,Create Group,
Group Name is required,Group Name is required,
The user group has been saved.,The user group has been saved.,
Edit Acl Group,Edit Acl Group,
Edit User Group,Edit User Group,
Group Name,Group Name,
Access Control List,Access Control List,
Grant All Access Control,Grant All Access Control,
Create User Group,Create User Group,
Notifications,Notifications,
Error Order Notification,Error Order Notification,
Reallocation Order Notification,Reallocation Order Notification,
New Order Notification,New Order Notification,
RMA Notification,RMA Notification,
New User Creation,New User Creation,
Manage Credit Memos,Manage Credit Memos,
Credit Memo,Credit Memo,
Bill-to Name,Bill-to Name,
Refunded From,Refunded From,
Refunded To,Refunded To,
Print Credit Memo,Print Credit Memo,
Items to Refund,Items to Refund,
Qty Refund,Qty Refund,
Qty to Refund,Qty to Refund,
Tax Amount,Tax Amount,
Row Total,Row Total,
"SKU : ","SKU : ",
"Ordered : ","Ordered : ",
"Invoiced : ","Invoiced : ",
"Shipped : ","Shipped : ",
"Refunded : ","Refunded : ",
"Canceled : ","Canceled : ",
Refund Totals,Refund Totals,
Discount,Discount,
Refund Shipping,Refund Shipping,
Adjusment Refund,Adjusment Refund,
Adjusment Fee,Adjusment Fee,
View Memo #,View Memo #,
New Memo #,New Memo #,
Creditmemo Created,Creditmemo Created,
IDR,IDR,
Credit Memo Comments,Credit Memo Comments,
Comment Text,Comment Text,
Append Comments,Append Comments,
Email Copy of Credit Memo,Email Copy of Credit Memo,
Calculate Totals,Calculate Totals,
Manage Request,Manage Request,
Pending Approval,Pending Approval,
Package Sent,Package Sent,
Package Received,Package Received,
Proccessing,Proccessing,
Complete,Complete,
Request,Request,
Channel Order,Channel Order,
Original Location(s),Original Location(s),
Manage Request #,Manage Request #,
The Refund has been processed,The Refund has been processed,
The RMA has been updated,The RMA has been updated,
Required !,Required !,
Offline,Offline,
Refund to Customer Store Credit,Refund to Customer Store Credit,
Create Customer Giftcard,Create Customer Giftcard,
Pickup in Store,Pickup in Store,
Refund,Refund,
Request Date,Request Date,
Last Update,Last Update,
Return Type,Return Type,
Replacement Order Type,Replacement Order Type,
Account Information,Account Information,
Customer Name,Customer Name,
Customer Email,Customer Email,
Return Qty,Return Qty,
Return Details,Return Details,
Return Stock,Return Stock,
Price :,Price :,
Package Condition,Package Condition,
"Attachment : ","Attachment : ",
Notify Customer by Email,Notify Customer by Email,
Visible to Customer,Visible to Customer,
Unknown,Unknown,
Manage Status,Manage Status,
Position,Position,
RMA Status has been saved,RMA Status has been saved,
Fetch Marketplace Order,Fetch Marketplace Order,
Detail Order #,Detail Order #,
Manage Invoice,Manage Invoice,
Order has been exported successfully,Order has been exported successfully,
Order successfully fetched. Please wait for at least 15 minutes for order to sync,Order successfully fetched. Please wait for at least 15 minutes for order to sync,
The order has been saved,The order has been saved,
Order was canceled,Order was canceled,
Channel Order Status,Channel Order Status,
Last Updated,Last Updated,
Queue Status,Queue Status,
Payment Confirmation Status,Payment Confirmation Status,
Error Log,Error Log,
Tab Status,Tab Status,
Manage Order Queue,Manage Order Queue,
Bulk Order Reallocation,Bulk Order Reallocation,
Bulk Reallocation,Bulk Reallocation,
Select File,Select File,
Set As New,Set As New,
Set as Reallocation,Set as Reallocation,
Set as Allocating,Set as Allocating,
Export No Allocation,Export No Allocation,
Export All,Export All,
Please click the button below to fetch marketplace order manually,Please click the button below to fetch marketplace order manually,
Last Fetch Marketplace Order Manually By,Last Fetch Marketplace Order Manually By,
at,at,
Cancel Order,Cancel Order,
Are you sure want to cancel this order?,Are you sure want to cancel this order?,
Order status is,Order status is,
Payment Information,Payment Information,
Bank,Bank,
Destination Account,Destination Account,
Ref Number,Ref Number,
Amount Paid,Amount Paid,
Approved By,Approved By,
Approve Payment,Approve Payment,
There will be no salable stock checking for edited items. Are you sure you want to edit the order item?,There will be no salable stock checking for edited items. Are you sure you want to edit the order item?,
Edit Order,Edit Order,
Order Totals,Order Totals,
Notes for This Order,Notes for This Order,
Edit History,Edit History,
Comment,Comment,
Replace Product,Replace Product,
Product SKU,Product SKU,
Replace,Replace,
Invoice Date,Invoice Date,
From Invoice Date,From Invoice Date,
To Invoice Date,To Invoice Date,
Items Invoiced,Items Invoiced,
Invoice Totals,Invoice Totals,
View Detail,View Detail,
Airwaybill Number,Airwaybill Number,
Replacement For,Replacement For,
Are you sure you want to delete this SKU Product?,Are you sure you want to delete this SKU Product?,
Add SKU Product,Add SKU Product,
Status Approval,Status Approval,
Order was Approved,Order was Approved,
Order was Not Approved,Order was Not Approved,
Approve,Approve,
Not Approve,Not Approve,
Vendor Code,Vendor Code,
Vendor Name,Vendor Name,
The Vendor has been saved.,The Vendor has been saved.,
Logo Vendor,Logo Vendor,
Promotion Banner,Promotion Banner,
Company Information,Company Information,
New Product,New Product,
Can upload new product,Can upload new product,
Margin,Margin,
Product Auto Approval,Product Auto Approval,
Can auto approve product,Can auto approve product,
Shipper Shipping,Shipper Shipping,
Vendor Shipping,Vendor Shipping,
Beneficiaries,Beneficiaries,
Bank Account Number,Bank Account Number,
Bank Account Name,Bank Account Name,
Alias Name,Alias Name,
Payout Schedule,Payout Schedule,
Sample CSV,Sample CSV,
failed,failed,
ATTACH FILE,ATTACH FILE,
Tutorial,Tutorial,
Tutorial Upload Product,Tutorial Upload Product,
Approval status,Approval status,
Vendor Product Approval,Vendor Product Approval,
Coupon Code,Coupon Code,
From Date,From Date,
To Date,To Date,
Create Promotion,Create Promotion,
New Promotion has been saved.,New Promotion has been saved.,
Edit Promotion,Edit Promotion,
Rule Name,Rule Name,
Rule Action,Rule Action,
Discount Amount / Get Y,Discount Amount / Get Y,
Buy X (For Buy X Get Y Free Only),Buy X (For Buy X Get Y Free Only),
Maximum Free Y Item (For Buy X Get Y Free Only),Maximum Free Y Item (For Buy X Get Y Free Only),
Amount,Amount,
Response,Response,
Amount From,Amount From,
Amount To,Amount To,
Iris Payout History,Iris Payout History,
Create Payout,Create Payout,
Balance,Balance,
Beneficiary Id,Beneficiary Id,
No Reference,No Reference,
Vendor Id,Vendor Id,
Are you sure you want to approve?,Are you sure you want to approve?,
Approve success!,Approve success!,
Reject,Reject,
Are you sure you want to Reject?,Are you sure you want to Reject?,
Reject success!,Reject success!,
Shipments,Shipments,
"Cannot upload, Files must be a type ","Cannot upload, Files must be a type ",
"Manage Credit Memos","Manage Credit Memos",
"Status Code","Status Code",
"Status Label","Status Label",
"Include in Item Status","Include in Item Status",
"Auto Message Text","Auto Message Text",
"Send Email to Customer","Send Email to Customer",
"Custom Email Text to Customer","Custom Email Text to Customer",
"Send Email to Admin","Send Email to Admin",
"Custom Email Text to Admin","Custom Email Text to Admin",
"Ikuti instruksi berikut untuk mengunggah data","Ikuti instruksi berikut untuk mengunggah data",
"Siapkan berkas csv untuk mengunggah data","Siapkan berkas csv untuk mengunggah data",
"unduh contoh berkas csv yang berisi persyaratan data yang dibutuhkan","unduh contoh berkas csv yang berisi persyaratan data yang dibutuhkan",
"Klik Disini","Klik Disini",
"Buka contoh berkas csv yang telah diunduh. Anda dapat membukanya dengan aplikasi apapun seperti Microsoft Excel","Buka contoh berkas csv yang telah diunduh. Anda dapat membukanya dengan aplikasi apapun seperti Microsoft Excel",
"kolom dalam contoh berkas csv adalah syarat minimal untuk unggah","kolom dalam contoh berkas csv adalah syarat minimal untuk unggah",
"Harap pastikan bahwa berkas csv yang akan diunggah sudah benar. Anda dapat memeriksa ulang dengan berkas csv anda","Harap pastikan bahwa berkas csv yang akan diunggah sudah benar. Anda dapat memeriksa ulang dengan berkas csv anda",
"Jika ada kolom berisi tanggal, harap pastikan format tanggal sudah benar sesuai dengan contoh berkas CSV","Jika ada kolom berisi tanggal, harap pastikan format tanggal sudah benar sesuai dengan contoh berkas CSV",
"Pilih bulk type","Pilih bulk type",
"Lampirkan berkas csv dengan mengklik tombol","Lampirkan berkas csv dengan mengklik tombol",
"Langkah terakhir, klik tombol","Langkah terakhir, klik tombol",
"untuk mengunggah berkas csv, kemudian tunggu hingga proses selesai","untuk mengunggah berkas csv, kemudian tunggu hingga proses selesai",
"Tutorial Upload Product master","Tutorial Upload Product master",
"produk","produk",
"Anda bisa menambahkan kolom yang sudah terdaftar di atribut produk","Anda bisa menambahkan kolom yang sudah terdaftar di atribut produk",
"Ini merupakan contoh data csv yang salah yang akan menyebabkan kegagalan dalam pengunggahan","Ini merupakan contoh data csv yang salah yang akan menyebabkan kegagalan dalam pengunggahan",
Beneficiaries,Beneficiaries,
Path,Path,
TADA Category ID,TADA Category ID,
TADA Catalog Category ID,TADA Catalog Category ID,
Category,Category,
Username,Username,
Api Key,Api Key,
Api Secret,Api Secret,
Program ID,Program ID,
Configuration,Configuration,
Add Configuration,Add Configuration,
New TADA Configuration has been saved,New TADA Configuration has been saved,
TADA configuration has been saved,TADA configuration has been saved,
Edit Configuration,Edit Configuration,
Add New Configuration,Add New Configuration,
Catalog ID,Catalog ID,
Company ID,Company ID,
Brand,Brand,
Is Active,Is Active,
Company ID From,Company ID From,
Company ID To,Company ID To,
Shipping Company,Shipping Company,
Add Shipping Company,Add Shipping Company,
The shipping company has been saved,The shipping company has been saved,
Edit Shipping Company,Edit Shipping Company,
New shipping company has been saved,New shipping company has been saved,
Add New Shipping Company,Add New Shipping Company,
From Grand Total,From Grand Total,
To Grand Total,To Grand Total,
Product Option,Product Option,
Custom options let customers choose the product variations they want.,Custom options let customers choose the product variations they want.,
Import Option,Import Option,
Add Option,Add Option,
Option Title,Option Title,
The product price has been deleted,The product price has been deleted,
Product price sync to marketplace successfully,Product price sync to marketplace successfully,
View Balance,View Balance,
Account Iris Balance,Account Iris Balance,
 or , or ,
View Tutorial,View Tutorial,
Select Product,Select Product,
Vendor SKU,Vendor SKU,
Simple Product,Simple Product,
Configurable Product,Configurable Product,
